						Joint element tag	Match?	JH	Peace
1	#anno-id:466								
	#text:지진이 끝나고 15초 밖에 걸리지 않았다는 것을 받아들이기 어렵다.								
	0	지진이	_	_	B-Activity	O	0	B-Activity	O
	1	끝나고	_	_	O	O	1		
	2	15초	_	_	B-Time_length	B-Time_length	1	B-Time_length	
	3	밖에	_	_	O	O	1		
	4	걸리지	걸리다.v	Taking_time	O	O	1		
	5	않았다는	_	_	O	O	1		
	6	것을	_	_	O	O	1		
	7	받아들이기	_	_	O	O	1		
	8	어렵다.	_	_	O	O	1		
									
2	#anno-id:471								
	#text:오전 9시 53분 PANDA : 몸은 도피 또는 싸움을 위해 온통 주의하고 있다.								
	0	오전	_	_	O	O	1		
	1	9시	_	_	O	O	1		
	2	53분	_	_	O	O	1		
	3	PANDA	_	_	O	O	1		
	4	:	_	_	O	O	1		
	5	몸은	몸.n	Body_parts	O	O	0		B_Body_part
	6	도피	_	_	O	O	1		
	7	또는	_	_	O	O	1		
	8	싸움을	_	_	O	O	1		
	9	위해	_	_	O	O	1		
	10	온통	_	_	O	O	1		
	11	주의하고	_	_	O	O	1		
	12	있다.	_	_	O	O	1		
									
3	#anno-id:472								
	#text:메스꺼움은 흔한 증상인 것 같다.								
	0	메스꺼움은	_	_	B-Indicator	B-Indicator	0	B-Indicated	
	1	흔한	_	_	O	O	1		
	2	증상인	증상.n	Sign	O	O	1		
	3	것	_	_	O	O	1		
	4	같다.	_	_	O	O	1		
									
4	#anno-id:473								
	#text:왜 우리가 우리 아이들에게 읽고, 쓰고, 계산하는 것을 가르치면 안될까?								
	0	왜	_	_	O	O	1		
	1	우리가	_	_	O	O	0		B-Author
	2	우리	_	_	B-Author	B-Author	0	O	B-Addressee?Beneficiary?
	3	아이들에게	_	_	I-Author	I-Author	0	B-Author	I-Addressee?Beneficiary?
	4	읽고,	_	_	O	O	1		
	5	쓰고,	쓰다.a	Text_creation	O	O	1		
	6	계산하는	_	_	O	O	1		
	7	것을	_	_	O	O	1		
	8	가르치면	_	_	O	O	1		
	9	안될까?	_	_	O	O	1		
									
5	#anno-id:490								
	#text:이러한 믿음이 우리 교육기관, 우리 미디어, 우리 정치인, 심지어 우리 부모들까지 너무나 지배하고 있어 이들에 대해 도전하는 것은 거의 모독적인 것처럼 보인다.								
	0	이러한	_	_	O	O	1		
	1	믿음이	_	_	O	O	1		
	2	우리	_	_	O	O	1		
	3	교육기관,	교육.n	Education_teaching	B-Institution	B-Institution	1		
	4	우리	_	_	O	O	1		
	5	미디어,	_	_	O	O	1		
	6	우리	_	_	O	O	1		
	7	정치인,	_	_	O	O	1		
	8	심지어	_	_	O	O	1		
	9	우리	_	_	O	O	1		
	10	부모들까지	_	_	O	O	1		
	11	너무나	_	_	O	O	1		
	12	지배하고	_	_	O	O	1		
	13	있어	_	_	O	O	1		
	14	이들에	_	_	O	O	1		
	15	대해	_	_	O	O	1		
	16	도전하는	_	_	O	O	1		
	17	것은	_	_	O	O	1		
	18	거의	_	_	O	O	1		
	19	모독적인	_	_	O	O	1		
	20	것처럼	_	_	O	O	1		
	21	보인다.	_	_	O	O	1		
									
6	#anno-id:491								
	#text:이러한 믿음이 우리 교육기관, 우리 미디어, 우리 정치인, 심지어 우리 부모들까지 너무나 지배하고 있어 이들에 대해 도전하는 것은 거의 모독적인 것처럼 보인다.								
	0	이러한	_	_	O	O	1		
	1	믿음이	_	_	O	O	1		
	2	우리	_	_	B-Employer	O	0		
	3	교육기관,	_	_	O	O	1		
	4	우리	_	_	O	O	1		
	5	미디어,	_	_	O	O	1		
	6	우리	_	_	O	B-Employer	1		
	7	정치인,	정치인.n	People_by_vocation	O	O	1		
	8	심지어	_	_	O	O	1		
	9	우리	_	_	O	O	1		
	10	부모들까지	_	_	O	O	1		
	11	너무나	_	_	O	O	1		
	12	지배하고	_	_	O	O	1		
	13	있어	_	_	O	O	1		
	14	이들에	_	_	O	O	1		
	15	대해	_	_	O	O	1		
	16	도전하는	_	_	O	O	1		
	17	것은	_	_	O	O	1		
	18	거의	_	_	O	O	1		
	19	모독적인	_	_	O	O	1		
	20	것처럼	_	_	O	O	1		
	21	보인다.	_	_	O	O	1		
									
7	#anno-id:494								
	#text:결과는 무지와 지적 무능력이 그들 자신의 좋은 생각과 일치되는 젊은 세대이다.								
	0	결과는	_	_	O	O	1		
	1	무지와	_	_	O	O	1		
	2	지적	_	_	B-Knowledge	B-Knowledge	1	B-Knowledge	
	3	무능력이	무능력.n	Expertise	O	O	1		
	4	그들	_	_	O	O	1		
	5	자신의	_	_	O	O	1		
	6	좋은	_	_	O	O	1		
	7	생각과	_	_	O	O	1		
	8	일치되는	_	_	O	O	1		
	9	젊은	_	_	O	O	1		
	10	세대이다.	_	_	O	O	1		
									
8	#anno-id:496								
	#text:결과는 무지와 지적 무능력이 그들 자신의 좋은 생각과 일치되는 젊은 세대이다.								
	0	결과는	_	_	O	O	1		
	1	무지와	_	_	O	B-Persistent_characteristic	0		B-Persistent_characteristic
	2	지적	_	_	O	I-Persistent_characteristic	0		I-Persistent_characteristic
	3	무능력이	_	_	O	I-Persistent_characteristic	0		I-Persistent_characteristic
	4	그들	_	_	O	I-Persistent_characteristic	0		I-Persistent_characteristic
	5	자신의	_	_	O	I-Persistent_characteristic	0		I-Persistent_characteristic
	6	좋은	_	_	O	I-Persistent_characteristic	0		I-Persistent_characteristic
	7	생각과	_	_	O	I-Persistent_characteristic	0		I-Persistent_characteristic
	8	일치되는	_	_	O	I-Persistent_characteristic	0		I-Persistent_characteristic
	9	젊은	_	_	B-Age	B-Descriptor	0	B-Age	B-Descriptor
	10	세대이다.	세대.n	People	O	O	1		
									
9	#anno-id:501								
	#text:다행히도, 이들 같은 부모들은 자기 아이들이 전통적으로 이해되는 제대로 된 교육을 받기를 정말 원하고 있으며, 그리고 그들은 그것이 무엇을 요구하는가를 알만한 충분한 상식을 가지고 있다.								
	0	다행히도,	_	_	O	O	1		
	1	이들	_	_	O	O	0	B-Ego	
	2	같은	_	_	O	O	0	I-Ego	
	3	부모들은	_	_	O	O	0	I-Ego	
	4	자기	_	_	B-Ego	B-Ego	0	I-Ego	
	5	아이들이	아이.n	Kinship	O	O	1		
	6	전통적으로	_	_	O	O	1		
	7	이해되는	_	_	O	O	1		
	8	제대로	_	_	O	O	1		
	9	된	_	_	O	O	1		
	10	교육을	_	_	O	O	1		
	11	받기를	_	_	O	O	1		
	12	정말	_	_	O	O	1		
	13	원하고	_	_	O	O	1		
	14	있으며,	_	_	O	O	1		
	15	그리고	_	_	O	O	1		
	16	그들은	_	_	O	O	1		
	17	그것이	_	_	O	O	1		
	18	무엇을	_	_	O	O	1		
	19	요구하는가를	_	_	O	O	1		
	20	알만한	_	_	O	O	1		
	21	충분한	_	_	O	O	1		
	22	상식을	_	_	O	O	1		
	23	가지고	_	_	O	O	1		
	24	있다.	_	_	O	O	1		
									
10	#anno-id:509								
	#text:다행히도, 이들 같은 부모들은 자기 아이들이 전통적으로 이해되는 제대로 된 교육을 받기를 정말 원하고 있으며, 그리고 그들은 그것이 무엇을 요구하는가를 알만한 충분한 상식을 가지고 있다.								
	0	다행히도,	_	_	O	O	1		
	1	이들	_	_	O	O	1		
	2	같은	_	_	O	O	1		
	3	부모들은	_	_	O	O	1		
	4	자기	_	_	O	O	1		
	5	아이들이	_	_	O	O	1		
	6	전통적으로	_	_	O	O	1		
	7	이해되는	_	_	O	O	1		
