#anno-id:466
#text:지진이 끝나고 15초 밖에 걸리지 않았다는 것을 받아들이기 어렵다.
0	지진이	_	_	B-Activity
1	끝나고	_	_	O
2	15초	_	_	B-Time_length
3	밖에	_	_	O
4	걸리지	걸리다.v	Taking_time	O
5	않았다는	_	_	O
6	것을	_	_	O
7	받아들이기	_	_	O
8	어렵다.	_	_	O

#anno-id:471
#text:오전 9시 53분 PANDA : 몸은 도피 또는 싸움을 위해 온통 주의하고 있다.
0	오전	_	_	O
1	9시	_	_	O
2	53분	_	_	O
3	PANDA	_	_	O
4	:	_	_	O
5	몸은	몸.n	Body_parts	O
6	도피	_	_	O
7	또는	_	_	O
8	싸움을	_	_	O
9	위해	_	_	O
10	온통	_	_	O
11	주의하고	_	_	O
12	있다.	_	_	O

#anno-id:472
#text:메스꺼움은 흔한 증상인 것 같다.
0	메스꺼움은	_	_	B-Indicator
1	흔한	_	_	O
2	증상인	증상.n	Sign	O
3	것	_	_	O
4	같다.	_	_	O

#anno-id:473
#text:왜 우리가 우리 아이들에게 읽고, 쓰고, 계산하는 것을 가르치면 안될까?
0	왜	_	_	O
1	우리가	_	_	O
2	우리	_	_	B-Author
3	아이들에게	_	_	I-Author
4	읽고,	_	_	O
5	쓰고,	쓰다.a	Text_creation	O
6	계산하는	_	_	O
7	것을	_	_	O
8	가르치면	_	_	O
9	안될까?	_	_	O

#anno-id:490
#text:이러한 믿음이 우리 교육기관, 우리 미디어, 우리 정치인, 심지어 우리 부모들까지 너무나 지배하고 있어 이들에 대해 도전하는 것은 거의 모독적인 것처럼 보인다.
0	이러한	_	_	O
1	믿음이	_	_	O
2	우리	_	_	O
3	교육기관,	교육.n	Education_teaching	B-Institution
4	우리	_	_	O
5	미디어,	_	_	O
6	우리	_	_	O
7	정치인,	_	_	O
8	심지어	_	_	O
9	우리	_	_	O
10	부모들까지	_	_	O
11	너무나	_	_	O
12	지배하고	_	_	O
13	있어	_	_	O
14	이들에	_	_	O
15	대해	_	_	O
16	도전하는	_	_	O
17	것은	_	_	O
18	거의	_	_	O
19	모독적인	_	_	O
20	것처럼	_	_	O
21	보인다.	_	_	O

#anno-id:491
#text:이러한 믿음이 우리 교육기관, 우리 미디어, 우리 정치인, 심지어 우리 부모들까지 너무나 지배하고 있어 이들에 대해 도전하는 것은 거의 모독적인 것처럼 보인다.
0	이러한	_	_	O
1	믿음이	_	_	O
2	우리	_	_	B-Employer
3	교육기관,	_	_	O
4	우리	_	_	O
5	미디어,	_	_	O
6	우리	_	_	O
7	정치인,	정치인.n	People_by_vocation	O
8	심지어	_	_	O
9	우리	_	_	O
10	부모들까지	_	_	O
11	너무나	_	_	O
12	지배하고	_	_	O
13	있어	_	_	O
14	이들에	_	_	O
15	대해	_	_	O
16	도전하는	_	_	O
17	것은	_	_	O
18	거의	_	_	O
19	모독적인	_	_	O
20	것처럼	_	_	O
21	보인다.	_	_	O

#anno-id:494
#text:결과는 무지와 지적 무능력이 그들 자신의 좋은 생각과 일치되는 젊은 세대이다.
0	결과는	_	_	O
1	무지와	_	_	O
2	지적	_	_	B-Knowledge
3	무능력이	무능력.n	Expertise	O
4	그들	_	_	O
5	자신의	_	_	O
6	좋은	_	_	O
7	생각과	_	_	O
